Resource Name,Organization,Description,PhoneNumber,Website,City,Address,Hours,ResourceType,Language,Offers Transportation,Serving,Has Requirement,Requirements,Date updated
HIV Case Management,Colorado Health Network Inc,Navigating the health care system can be overwhelming. Medical Case Managers are trained to assist those living with HIV to understand how to best manage their healthcare! Our specialist team of HIV Medical Case Managers will partner with you to develop a comprehensive care plan that addresses your specific concerns.,(719)-621-1105,https://coloradohealthnetwork.org/support-services/medical-case-management/,Pueblo,"807 N. Greenwood Street Suite 200 Pueblo, CO 81003",,Healthcare,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Case Management,Colorado Health Network Inc,Navigating the health care system can be overwhelming. Medical Case Managers are trained to assist those living with HIV to understand how to best manage their healthcare! Our specialist team of HIV Medical Case Managers will partner with you to develop a comprehensive care plan that addresses your specific concerns.,(970)-243-2437,https://coloradohealthnetwork.org/support-services/medical-case-management/,Grand Junction,"1001 Wellington Avenue, Grand Junction, CO 81501",,Healthcare,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
Transportation Assistance,Colorado Health Network Inc,"It can be tough to manage a chronic health issue if you have difficulty getting to your appointments. CHN can help by providing transportation assistance for those living with HIV to get medical, mental health, dental and case management appointments",(719)-578-9092,https://coloradohealthnetwork.org/support-services/transportation/,Colorado Springs,"1301 South 8th Street, Suite 200, Colorado Springs, CO 80905",,Transportation,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
Transportation Assistance,Colorado Health Network Inc,"It can be tough to manage a chronic health issue if you have difficulty getting to your appointments. CHN can help by providing transportation assistance for those living with HIV to get medical, mental health, dental and case management appointments",(719)-621-1105,https://coloradohealthnetwork.org/support-services/transportation/,Pueblo,"807 N. Greenwood Street Suite 200 Pueblo, CO 81003",,Transportation,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
Transportation Assistance,Colorado Health Network Inc,"It can be tough to manage a chronic health issue if you have difficulty getting to your appointments. CHN can help by providing transportation assistance for those living with HIV to get medical, mental health, dental and case management appointments",(970)-243-2437,https://coloradohealthnetwork.org/support-services/transportation/,Grand Junction,"1001 Wellington Avenue, Grand Junction, CO 81501",,Transportation,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Housing Support,Colorado Health Network Inc,"CHN believes housing is health care! Access to safe, reliable housing is a significant predictor of long-term wellbeing for people living with HIV, which is why we offer a variety of housing-related supportive services designed to address your unique situation.",(719)-578-9092,https://coloradohealthnetwork.org/support-services/housing/,Colorado Springs,"1301 South 8th Street, Suite 200, Colorado Springs, CO 80905",,Housing,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Housing Support,Colorado Health Network Inc,"CHN believes housing is health care! Access to safe, reliable housing is a significant predictor of long-term wellbeing for people living with HIV, which is why we offer a variety of housing-related supportive services designed to address your unique situation.",(719)-621-1105,https://coloradohealthnetwork.org/support-services/housing/,Pueblo,"807 N. Greenwood Street Suite 200 Pueblo, CO 81003",,Housing,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Housing Support,Colorado Health Network Inc,"CHN believes housing is health care! Access to safe, reliable housing is a significant predictor of long-term wellbeing for people living with HIV, which is why we offer a variety of housing-related supportive services designed to address your unique situation.",(970)-243-2437,https://coloradohealthnetwork.org/support-services/housing/,Grand Junction,"1001 Wellington Avenue, Grand Junction, CO 81501",,Housing,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Nutrition Support,Colorado Health Network Inc,"Access to nourishing, enjoyable food is a critical component to sustaining overall health and well-being when living with HIV. Each of CHN’s regional offices is equipped to assist eligible clients in meeting your nutritional needs. The food banks in Denver, Fort Collins, Greeley, Colorado Springs, and Pueblo offer food items directly and CHN’s Grand Junction office is able to provide nutritional assistance through grocery vouchers for eligible clients.",(719)-578-9092,https://coloradohealthnetwork.org/support-services/nutrition/,Colorado Springs,"1301 South 8th Street, Suite 200, Colorado Springs, CO 80905",,Food,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Nutrition Support,Colorado Health Network Inc,"Access to nourishing, enjoyable food is a critical component to sustaining overall health and well-being when living with HIV. Each of CHN’s regional offices is equipped to assist eligible clients in meeting your nutritional needs. The food banks in Denver, Fort Collins, Greeley, Colorado Springs, and Pueblo offer food items directly and CHN’s Grand Junction office is able to provide nutritional assistance through grocery vouchers for eligible clients.",(719)-621-1105,https://coloradohealthnetwork.org/support-services/nutrition/,Pueblo,"807 N. Greenwood Street Suite 200 Pueblo, CO 81003",,Food,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
HIV Nutrition Support,Colorado Health Network Inc,"Access to nourishing, enjoyable food is a critical component to sustaining overall health and well-being when living with HIV. Each of CHN’s regional offices is equipped to assist eligible clients in meeting your nutritional needs. The food banks in Denver, Fort Collins, Greeley, Colorado Springs, and Pueblo offer food items directly and CHN’s Grand Junction office is able to provide nutritional assistance through grocery vouchers for eligible clients.",(970)-243-2437,https://coloradohealthnetwork.org/support-services/nutrition/,Grand Junction,"1001 Wellington Avenue, Grand Junction, CO 81501",,Food,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
Work Support Text Line,Empower Work,"Empower Work is a non-profit that envisions a world where everyone can thrive at work. When work actually works for people, every individual’s economic and emotional well-being increases. And there is a ripple effect: communities, companies, the economy, and our democracy, thrive.",(510)-674-1414,https://www.empowerwork.org/how-it-works,,,Avalible anytime through text or online,Employment,English,,"Everyone, Employed",No,,11/30/2023
